300	266
13	32	26
11	30	24
8	29	22
10	27	21
11	26	21
12	31	25
13	34	25
12	40	28
10	38	26
10	40	28
12	44	31
13	49	35
17	53	39
23	55	44
57	75	61
92	100	76
87	81	57
94	79	56
106	87	70
135	116	101
113	95	73
94	79	56
105	90	69
96	75	56
116	95	76
132	114	92
130	114	89
112	95	69
114	90	64
118	96	72
122	100	76
132	114	92
126	119	93
91	79	57
74	55	38
68	53	34
81	60	39
100	75	55
106	89	63
103	87	61
100	80	56
76	57	40
68	46	32
95	76	61
88	73	54
93	67	50
111	87	61
123	99	73
109	81	59
104	76	54
93	69	45
84	57	38
77	47	36
72	48	38
77	58	43
69	52	36
59	41	27
64	44	33
81	59	46
76	57	40
60	44	29
52	37	30
32	25	19
21	18	13
23	19	16
27	24	19
27	24	17
37	30	22
61	47	38
61	43	33
80	53	44
93	71	60
74	55	41
62	44	30
65	43	29
87	59	45
93	64	46
110	77	58
104	82	59
63	46	36
57	38	31
74	52	39
69	56	40
56	44	32
53	36	26
48	34	25
41	32	25
29	22	14
30	26	17
28	25	18
27	24	17
26	23	16
30	27	18
39	30	21
62	45	35
71	49	38
86	60	43
116	88	66
117	86	65
107	79	55
106	85	64
62	48	37
33	22	16
34	23	17
36	27	18
48	31	23
59	37	24
79	56	40
91	62	44
100	72	50
106	80	57
97	71	54
73	50	36
68	49	35
60	46	35
45	35	26
39	30	21
38	28	19
51	39	27
66	52	39
85	66	49
101	78	60
132	117	96
117	100	80
123	104	89
117	105	91
81	63	51
66	52	39
71	60	42
73	60	51
57	47	35
50	42	31
76	65	45
91	76	53
80	64	48
76	64	48
79	63	48
106	93	76
138	127	107
127	111	95
92	74	60
77	55	42
72	53	39
60	47	39
50	46	35
65	59	43
71	62	47
46	42	31
33	49	38
27	59	46
25	51	40
26	49	33
28	52	36
39	63	39
36	54	32
34	51	33
55	51	26
123	89	15
163	116	2
165	116	0
167	114	0
169	113	2
177	118	2
199	147	2
207	166	0
197	151	3
169	128	0
144	112	9
75	55	28
57	50	44
56	56	46
59	58	53
63	62	58
70	65	59
68	68	66
75	72	67
79	69	60
79	71	60
72	52	28
77	47	11
74	44	8
69	38	7
75	39	7
76	39	10
69	36	3
61	38	4
63	48	7
65	51	6
58	49	8
48	46	8
44	44	8
38	39	8
32	35	8
28	31	10
23	25	12
17	20	13
15	18	11
20	21	15
16	17	11
9	11	10
8	10	9
10	10	8
14	13	11
8	10	9
8	10	9
8	6	7
8	6	7
8	8	8
10	10	12
10	10	8
14	15	10
48	49	43
90	91	85
87	88	83
90	90	88
83	83	81
84	84	84
86	86	86
85	85	85
88	88	88
84	86	85
83	85	84
84	84	82
93	93	91
91	91	89
92	92	92
30	30	30
17	15	16
17	17	19
17	18	20
18	18	18
24	24	24
38	38	36
38	37	35
26	26	26
117	112	116
88	89	93
2	3	5
3	3	3
3	5	4
5	3	4
6	2	3
15	17	12
32	28	25
40	35	32
45	41	38
54	54	52
53	55	52
39	41	38
31	33	28
14	14	12
9	9	7
10	10	8
9	9	7
9	9	7
8	8	6
5	5	3
3	3	1
3	3	3
10	10	8
29	29	27
37	38	33
28	29	24
15	16	11
14	13	9
21	20	16
34	31	26
42	41	36
46	45	40
47	46	41
44	45	39
46	47	41
45	46	40
44	45	40
43	44	39
40	41	36
34	35	30
34	35	30
36	37	32
34	35	30
34	35	30
34	34	32
26	28	23
15	15	13
9	9	9
7	7	7
7	7	7
9	9	9
14	14	12
21	22	17
31	32	27
36	35	31
35	36	31
34	35	29
35	36	30
38	37	33
38	37	33
39	40	35
27	36	35
14	29	24
13	28	23
13	28	23
10	27	19
12	32	23
14	35	26
10	37	28
11	38	29
10	43	32
12	45	34
16	49	38
15	56	42
18	60	46
18	59	43
31	61	49
63	76	58
83	78	56
82	74	55
91	72	55
122	96	79
130	112	90
102	82	58
97	82	59
95	78	52
99	79	55
119	103	78
123	107	82
103	83	59
110	86	62
120	92	70
128	102	79
133	109	85
128	116	92
104	93	73
88	69	52
90	72	50
80	62	40
84	62	41
106	86	61
116	90	67
108	86	62
101	79	55
74	53	32
71	49	36
93	71	58
90	69	48
108	77	56
131	103	79
134	110	86
125	101	77
100	74	51
88	63	43
84	62	41
90	72	50
83	73	48
70	57	41
64	48	35
62	42	31
74	48	35
90	63	46
82	56	39
70	51	36
65	47	37
62	46	33
38	28	19
28	18	16
24	16	14
21	20	15
32	29	22
48	38	29
62	45	37
95	72	58
102	90	74
71	53	39
64	42	29
65	42	28
86	54	41
109	76	59
120	88	65
86	65	46
58	35	27
71	48	34
78	57	38
61	47	36
53	34	28
58	38	27
72	56	43
45	36	29
34	25	16
33	26	16
28	24	15
30	23	17
31	27	18
36	30	18
46	32	21
57	39	27
78	49	35
110	77	60
132	105	86
130	108	84
109	87	64
80	63	47
43	30	24
35	26	17
41	26	19
46	32	23
61	41	30
75	46	32
104	71	52
114	77	59
117	86	66
113	93	68
89	63	46
72	46	33
79	56	42
65	45	34
52	35	28
47	32	25
51	37	28
62	46	33
73	60	44
92	75	55
114	96	72
138	126	104
132	114	94
128	109	92
121	109	93
94	76	62
74	56	42
75	59	43
87	73	62
59	47	35
55	42	34
74	60	47
89	74	55
91	74	56
85	69	54
78	60	46
94	79	60
132	121	99
133	120	101
98	81	65
79	60	45
76	60	45
60	48	36
53	43	34
61	51	39
68	60	47
52	46	34
40	46	32
39	57	41
32	58	45
24	50	37
25	47	35
41	65	33
36	63	30
31	75	48
75	85	35
171	133	6
195	150	0
200	155	0
206	157	2
208	155	0
210	157	0
210	160	3
210	166	0
204	153	0
182	135	5
125	91	2
68	49	32
57	49	46
59	54	48
59	58	54
64	63	59
66	65	63
70	69	67
72	61	43
78	52	15
72	53	11
71	48	14
71	45	12
67	41	6
69	41	4
76	40	4
71	43	6
67	45	6
57	41	5
46	37	8
48	39	10
54	49	9
45	45	7
36	39	10
29	32	11
23	27	12
20	23	12
18	19	13
15	14	10
14	15	10
14	16	13
11	10	8
9	7	8
6	8	7
10	10	10
8	8	8
13	13	11
43	38	35
40	36	33
12	14	9
6	8	7
7	7	9
9	9	11
10	10	8
32	35	28
84	86	81
91	92	87
90	90	90
82	84	83
84	86	85
87	87	87
83	83	83
87	87	87
86	86	86
81	83	82
87	87	87
97	97	97
90	90	90
94	94	94
22	22	22
11	11	11
12	12	12
11	13	12
13	15	12
25	24	20
60	56	53
84	85	80
51	52	54
66	65	70
103	117	118
20	35	32
12	12	12
2	2	2
4	4	4
3	3	3
14	16	15
35	37	34
26	26	24
40	39	37
96	100	99
70	79	76
33	39	35
25	27	24
15	15	13
11	11	9
9	9	7
10	10	8
12	12	10
7	7	5
3	3	3
3	3	3
8	8	8
32	32	30
38	39	34
30	31	26
17	18	13
12	13	8
15	14	12
26	25	23
39	35	32
45	41	38
46	45	41
47	46	42
45	46	41
45	46	41
44	45	40
44	45	40
44	45	40
39	40	35
36	37	31
36	37	31
34	37	30
36	38	33
33	35	30
22	24	21
8	10	7
4	6	5
5	5	5
4	4	4
3	3	3
4	4	4
5	5	5
7	7	5
12	11	9
27	26	24
35	36	31
37	38	33
36	37	32
37	36	32
30	29	27
23	23	21
17	19	18
13	22	19
14	29	22
12	32	23
11	32	23
12	35	27
11	37	28
9	40	32
13	46	35
9	50	36
12	50	37
14	52	39
16	58	44
17	61	44
25	64	45
55	78	62
74	77	56
78	70	51
86	67	52
102	79	65
135	115	91
124	107	81
102	81	60
93	75	55
95	75	51
105	84	63
126	116	89
103	89	62
101	77	53
113	87	62
125	99	72
135	107	83
140	118	95
124	112	90
102	84	64
110	88	65
97	79	55
70	47	31
92	66	49
115	94	63
120	98	74
115	93	69
104	82	58
72	49	31
75	51	39
91	65	52
103	75	54
122	90	67
144	118	95
142	120	97
116	94	70
99	68	47
98	63	44
106	75	54
104	83	56
82	64	40
66	48	34
63	46	36
66	46	35
85	55	44
102	69	54
86	59	42
78	55	37
74	53	34
78	55	39
53	37	24
45	32	24
34	25	20
20	20	12
22	23	15
32	25	17
47	37	28
87	75	61
87	85	64
67	54	37
64	42	31
72	44	32
107	70	52
120	88	67
122	99	81
73	44	36
80	50	39
94	65	47
74	53	34
53	36	26
60	35	28
87	64	50
74	63	45
39	32	24
37	30	20
35	28	18
32	25	15
34	27	19
36	29	19
44	32	20
59	40	26
74	47	36
100	65	46
130	97	78
149	123	106
135	117	95
87	70	52
46	31	24
36	25	19
46	32	23
50	30	19
61	42	27
76	44	31
110	73	57
139	110	92
131	100	82
125	94	73
104	82	59
75	49	32
85	59	42
84	63	44
66	48	36
53	34	27
55	38	28
56	44	32
62	48	35
81	62	47
109	87	64
123	101	77
142	125	105
142	125	105
137	122	101
132	119	100
102	86	71
76	58	44
79	63	48
80	66	53
57	45	33
61	47	38
78	64	51
92	77	58
93	76	56
95	78	60
84	67	51
89	74	53
123	115	92
135	128	109
99	86	70
77	64	47
76	64	48
61	54	38
58	52	38
58	52	38
55	52	35
49	46	29
41	43	29
43	55	41
33	55	42
21	52	37
26	47	32
40	60	32
39	70	36
38	90	54
99	102	31
200	158	14
212	167	4
213	168	4
216	169	5
217	170	4
217	170	4
209	164	1
209	164	0
204	160	0
197	156	4
140	105	3
74	53	24
60	46	43
61	54	46
59	55	52
61	58	51
60	56	45
70	66	54
72	57	38
77	47	11
78	51	8
67	41	6
65	39	4
71	41	5
74	41	8
77	43	6
66	42	8
58	39	9
58	43	10
47	43	8
32	31	10
31	30	12
35	37	15
29	32	13
23	27	13
19	22	13
17	20	13
14	15	10
13	12	10
13	13	11
11	12	14
7	9	8
8	6	9
9	9	9
8	8	8
12	12	12
49	31	29
75	44	41
81	67	56
65	61	50
26	25	20
8	8	8
9	9	11
9	9	7
33	35	30
84	85	80
86	85	83
84	86	83
80	82	81
85	85	85
86	86	86
85	85	85
87	87	87
84	84	84
82	82	82
92	92	92
92	92	92
84	84	84
94	93	91
22	22	22
4	6	5
8	8	8
15	15	13
17	19	16
20	16	15
92	83	84
125	127	126
59	70	66
49	53	56
61	71	72
43	49	49
22	22	22
4	6	5
4	4	4
5	5	3
15	13	14
29	34	30
21	23	20
30	30	30
61	67	67
49	61	59
24	30	30
22	20	21
17	17	15
18	18	16
16	16	14
17	17	17
15	15	15
4	4	4
3	3	3
6	6	6
28	26	27
36	36	34
30	31	26
20	21	15
12	13	8
12	12	10
21	20	18
34	33	31
41	42	36
46	47	41
45	46	40
44	45	39
44	45	39
47	46	41
45	44	39
46	45	40
44	43	39
38	39	33
35	36	30
35	36	30
34	37	30
36	38	33
24	26	23
8	10	9
5	7	6
4	6	5
4	4	4
5	5	3
5	5	3
4	4	4
4	4	6
6	6	8
6	6	6
10	10	10
20	20	18
32	34	31
29	30	25
20	20	18
13	13	11
6	8	7
6	8	7
10	12	11
15	24	19
13	33	22
10	36	23
9	39	27
10	43	32
10	48	37
12	50	39
7	49	37
11	49	36
16	52	42
18	58	47
15	57	43
32	65	48
72	84	70
76	75	54
85	68	52
97	76	55
119	91	77
141	119	96
117	101	75
103	80	64
107	86	65
100	84	61
111	96	75
116	104	80
94	77	51
106	82	56
126	100	73
134	108	81
137	115	91
134	122	98
121	109	87
112	94	70
106	86	59
94	78	53
72	49	33
104	77	56
122	101	70
126	105	78
119	99	66
113	89	61
76	50	33
78	55	39
98	71	52
122	94	72
132	111	82
139	118	89
139	117	93
118	92	69
102	74	50
112	88	62
112	89	58
89	68	41
67	48	34
64	46	32
72	49	35
78	49	33
91	64	45
99	74	54
88	63	43
85	58	39
85	57	36
90	58	43
69	45	33
55	37	27
49	32	25
36	25	19
35	24	20
40	27	21
50	33	26
77	52	45
70	51	44
65	40	33
66	43	29
92	61	43
125	86	71
143	115	101
104	85	70
77	44	37
113	84	68
100	75	55
67	45	32
60	42	30
87	66	45
96	80	57
59	52	36
38	31	23
39	35	26
36	29	21
37	28	19
38	31	21
39	30	21
57	39	29
81	58	42
98	65	50
128	97	77
140	119	98
135	120	99
104	89	70
55	41	30
38	24	21
44	29	24
50	33	25
71	43	29
89	61	40
95	58	40
140	104	88
150	129	110
134	111	93
109	83	58
90	57	38
95	62	45
101	73	52
83	65	43
61	43	29
60	40	29
66	47	33
63	47	32
70	48	35
89	61	49
108	86	65
128	108	84
140	122	98
149	128	107
131	116	93
133	118	99
114	97	79
80	64	48
78	62	47
76	60	45
64	50	39
58	49	40
74	64	54
91	78	62
92	75	55
94	79	60
88	73	54
91	73	53
115	103	81
136	129	110
108	95	78
82	65	47
80	68	46
67	55	39
58	48	36
63	53	41
57	49	36
52	46	34
46	44	31
55	56	40
40	55	36
21	48	33
23	46	26
31	57	32
35	70	40
45	95	58
121	115	29
214	175	18
225	183	13
223	181	9
224	182	10
223	181	9
218	175	8
212	165	0
210	162	2
206	164	2
203	164	7
155	119	5
82	62	25
60	52	50
53	55	44
59	56	49
62	49	33
65	44	15
53	44	15
60	45	24
68	45	14
67	43	7
62	37	7
64	40	6
72	39	6
74	39	11
66	40	3
62	42	9
55	38	8
48	39	8
39	40	8
29	35	9
20	24	10
17	20	11
22	25	14
20	21	13
17	18	10
13	16	9
11	13	10
10	10	10
12	11	9
10	8	9
9	7	8
9	9	9
8	8	8
10	6	7
12	17	11
64	51	42
84	29	24
90	31	25
86	67	53
78	68	59
27	26	22
6	8	7
8	10	7
25	27	22
74	76	71
82	84	81
85	85	83
87	86	84
92	88	87
86	85	83
86	86	86
86	88	85
83	85	82
86	86	84
93	93	93
86	86	86
84	83	81
94	93	91
23	23	23
6	6	6
6	6	6
14	14	14
15	15	15
22	22	22
34	36	35
51	55	54
39	45	45
35	41	39
39	43	42
36	40	39
20	24	23
3	5	4
5	5	5
5	3	4
13	13	13
23	23	23
20	20	20
28	28	28
36	38	37
30	32	31
24	26	25
20	22	21
15	15	13
28	29	24
27	28	23
18	18	16
7	7	7
3	3	3
4	4	4
23	23	21
40	41	35
31	32	26
23	24	19
12	12	10
11	11	9
20	19	15
31	30	26
41	38	33
45	46	40
44	45	40
44	43	39
44	43	39
45	44	40
43	42	38
45	44	40
47	46	42
43	42	38
36	36	34
33	34	29
35	36	30
35	36	31
33	35	32
12	12	12
6	6	4
5	5	5
5	5	5
4	4	4
5	5	5
5	5	5
3	3	3
5	5	5
6	6	6
5	3	4
5	5	7
9	9	7
15	15	13
12	12	10
4	4	6
4	4	6
5	6	1
7	5	6
8	8	6
13	14	16
11	26	19
8	38	26
9	45	33
8	49	35
13	53	42
9	50	36
8	49	33
9	50	34
15	53	40
16	57	43
27	61	45
50	71	54
70	79	60
78	72	48
91	72	57
110	82	70
132	110	89
141	121	97
119	103	78
104	86	64
99	84	61
105	89	63
116	100	75
102	90	66
92	72	48
116	90	63
130	109	80
133	113	89
136	114	93
138	122	97
122	110	84
109	87	64
105	83	62
98	80	60
76	53	37
113	91	68
137	118	88
127	99	77
135	105	77
109	89	64
73	50	36
89	59	48
120	89	68
136	113	81
137	112	82
135	110	88
141	120	99
122	95	76
126	98	76
126	103	69
107	84	52
76	55	36
59	41	29
70	48	34
79	57	36
85	58	37
101	74	53
106	77	59
96	67	49
94	66	44
94	66	44
106	73	56
85	59	44
62	40	29
54	37	27
54	37	29
53	38	31
62	42	33
91	67	55
104	76	62
74	50	40
71	42	34
82	48	36
127	90	74
142	110	95
148	131	115
85	63	50
111	73	62
121	99	78
84	66	44
69	48	31
83	57	40
98	71	50
82	65	47
52	37	30
39	35	26
45	36	29
40	31	24
43	32	26
41	28	22
49	36	27
74	52	38
93	62	42
128	103	83
135	117	95
117	99	79
96	75	58
61	43	31
41	27	24
43	28	25
52	36	23
62	39	25
99	68	47
103	73	47
108	72	50
144	119	99
141	119	98
114	89	69
102	65	49
115	83	62
121	95	70
98	78	54
67	48	31
66	44	30
70	47	29
76	53	35
84	61	45
84	58	41
88	65	49
111	86	66
131	111	86
134	118	93
138	120	98
126	105	84
127	111	88
123	106	90
80	67	51
69	58	40
72	63	46
63	51	37
62	53	38
74	64	52
92	73	59
98	77	56
98	78	54
93	78	59
95	73	59
110	92	72
134	126	103
119	104	85
86	70	55
79	62	46
71	59	45
62	53	38
63	54	39
60	52	41
52	43	34
47	41	29
58	59	41
55	63	42
27	44	34
23	46	30
31	56	35
31	75	42
46	101	70
128	127	35
228	185	28
233	192	22
233	191	19
234	192	18
229	187	17
220	173	5
211	163	1
207	164	0
210	165	4
209	168	14
147	119	10
82	61	30
61	50	46
57	52	46
61	58	53
55	48	32
61	40	11
50	33	3
57	38	8
58	37	10
60	34	9
62	35	8
64	34	6
62	35	6
64	39	9
62	39	5
48	37	7
36	34	9
29	33	10
30	34	11
28	31	10
21	23	10
15	14	12
12	12	12
13	13	11
12	12	10
9	11	8
9	9	9
10	8	11
9	9	9
8	10	7
9	9	9
10	8	9
9	7	8
6	6	6
5	5	5
37	38	33
74	49	44
90	29	28
86	27	23
84	60	48
67	65	53
20	19	15
8	8	8
18	20	17
75	74	70
89	85	82
83	85	82
87	87	85
90	89	87
90	86	85
89	85	84
86	85	83
90	88	89
92	88	89
88	88	86
83	83	81
82	82	82
95	93	94
20	20	20
6	6	6
7	7	7
7	7	7
10	10	10
18	18	18
14	16	15
19	23	22
26	30	29
22	26	25
23	27	26
23	25	24
12	14	13
5	7	6
4	4	4
5	3	4
10	10	10
19	19	19
19	19	19
30	30	30
36	38	37
30	32	31
24	26	25
19	21	20
13	13	11
18	19	14
25	26	21
10	10	8
3	3	3
5	5	5
16	16	14
37	38	33
35	36	30
25	26	20
16	17	12
14	15	10
22	23	18
32	31	27
42	41	37
46	43	38
44	45	40
44	45	40
45	44	40
44	43	39
44	43	39
43	42	38
45	44	40
47	48	43
44	43	39
37	38	33
35	36	31
35	36	30
36	37	32
22	24	21
4	6	5
6	6	6
6	6	6
5	5	5
6	6	6
4	4	4
4	4	4
6	6	6
5	5	5
5	5	5
5	5	3
9	9	11
10	10	10
7	7	9
4	4	4
6	6	6
7	9	8
8	9	13
11	11	9
9	9	9
9	11	10
14	18	19
15	34	28
12	45	34
11	48	41
10	53	43
10	52	40
9	50	36
12	50	37
17	55	42
21	62	48
33	70	52
57	74	56
71	74	55
81	70	52
94	75	60
126	105	88
143	125	103
136	119	93
116	96	71
102	86	63
98	83	62
105	88	68
117	95	72
100	80	56
98	71	50
122	95	68
131	110	81
134	114	90
142	121	102
139	121	101
111	91	67
107	79	55
126	100	75
104	84	59
77	55	34
123	102	81
133	117	92
129	105	77
134	115	85
97	79	57
75	51	39
99	67	56
135	105	81
154	124	96
148	118	92
146	120	97
147	122	100
138	110	88
128	102	75
123	98	67
92	68	42
69	47	33
60	41	27
80	53	36
90	62	40
99	68	47
115	84	63
114	86	65
100	71	53
99	67	46
108	73	53
123	90	73
101	78	64
63	41	30
55	38	28
62	45	37
62	45	37
75	53	42
120	98	85
115	96	79
82	56	41
84	48	34
104	67	51
139	110	94
148	124	112
115	97	85
99	62	54
131	105	90
106	85	66
85	58	41
87	58	42
94	69	49
93	71	50
71	52	38
47	34	26
39	35	26
41	34	26
39	35	26
37	30	24
43	30	24
64	44	35
85	57	43
110	83	62
123	101	80
104	77	58
88	61	42
66	47	33
45	30	23
47	33	24
58	39	24
66	38	24
92	56	40
119	82	63
104	70	45
131	100	79
126	97	79
112	84	63
125	80	61
132	96	72
133	109	81
112	90	66
83	58	38
73	44	30
77	51	36
93	67	50
92	63	45
99	74	52
98	70	49
94	67	48
114	88	71
134	111	93
136	115	96
143	123	99
133	111	88
132	106	91
135	119	103
80	67	51
71	58	41
78	62	47
67	49	37
71	53	41
74	62	48
85	68	52
102	80	59
102	84	60
99	82	62
99	82	66
104	87	69
133	121	99
128	112	96
92	73	59
80	68	52
84	71	54
78	65	49
61	49	37
53	49	37
46	44	32
48	42	30
59	52	34
57	59	38
36	50	33
24	47	29
27	57	33
32	78	41
50	105	63
137	136	43
226	191	35
238	199	36
244	204	47
244	203	51
238	194	37
216	166	7
212	162	1
210	166	0
217	174	17
216	180	34
142	107	15
80	59	28
53	43	31
54	44	32
56	48	35
53	43	33
56	38	16
61	35	10
56	35	8
54	33	6
60	34	7
62	35	8
60	34	7
55	36	6
53	36	6
48	37	5
37	33	8
27	28	12
20	22	9
22	24	11
24	28	14
16	19	10
12	13	8
10	12	9
8	8	8
7	7	7
10	10	10
8	8	8
7	7	9
9	9	9
10	9	7
10	10	10
8	8	8
6	8	7
4	4	4
5	3	4
13	18	12
62	62	50
79	63	48
83	46	38
68	46	35
79	73	61
62	62	54
11	10	6
37	33	30
84	83	79
90	86	83
88	84	83
89	88	86
86	85	83
86	86	84
85	85	83
84	86	85
95	95	95
88	88	88
87	86	84
83	82	80
84	80	77
96	95	90
20	20	20
6	6	6
3	3	3
5	5	5
7	7	7
6	6	6
8	10	9
16	18	17
19	23	22
16	18	17
11	13	12
9	11	10
4	6	5
4	4	4
3	3	3
6	6	6
9	9	9
15	15	15
21	21	21
33	33	33
36	38	37
27	29	28
21	23	22
17	19	18
11	11	9
11	11	9
9	9	7
3	3	1
5	5	5
6	6	6
30	30	28
37	38	33
27	28	22
18	19	14
14	15	10
22	21	17
33	32	28
41	40	36
48	47	42
45	44	39
44	43	39
47	43	40
47	43	40
47	43	40
46	42	39
47	43	40
46	45	41
47	46	42
43	44	38
37	38	33
35	36	31
36	37	31
34	35	30
14	16	13
4	6	5
5	5	5
5	5	5
7	7	7
4	4	4
5	5	5
6	6	6
5	5	5
4	4	4
7	7	7
10	10	10
10	10	12
5	5	5
4	4	4
8	8	8
10	12	9
17	19	14
18	20	19
19	19	21
22	20	21
16	20	19
14	18	19
17	28	24
14	41	32
9	49	38
9	53	38
9	53	40
9	51	37
13	55	41
18	59	43
29	66	49
49	74	55
63	71	50
76	74	51
83	66	50
107	79	65
140	125	104
144	128	103
130	113	87
115	95	70
104	83	62
104	85	68
116	94	70
111	90	63
94	72	49
106	78	57
129	98	77
137	113	87
143	126	98
134	120	93
115	94	73
104	80	56
112	86	61
130	109	82
101	81	57
80	55	35
127	102	80
137	115	91
140	116	88
121	105	79
90	72	52
86	56	45
114	81	64
150	124	97
161	131	105
152	124	102
151	123	101
148	122	99
133	106	79
125	100	69
110	85	55
85	58	39
70	46	34
73	50	34
87	59	37
97	67	43
110	78	55
120	88	65
115	84	63
101	70	50
105	70	48
119	81	62
137	106	88
112	89	73
65	43	30
57	39	27
69	53	40
70	50	39
85	58	47
128	106	92
110	93	77
82	53	39
90	53	37
120	92	71
142	116	101
138	119	105
95	65	55
128	94	82
122	101	82
104	75	59
101	70	52
105	77	55
99	71	47
95	64	46
68	44	32
46	36	27
40	33	25
37	30	20
44	37	29
48	35	29
49	36	28
66	48	34
93	66	49
99	74	54
99	61	48
96	60	46
78	52	39
55	37	25
61	38	30
61	37	27
69	41	27
97	60	42
123	95	74
112	86	63
94	64	40
107	75	50
125	84	64
140	110	86
144	114	88
136	109	79
118	88	62
97	70	49
83	52	34
86	51	32
98	70	49
110	83	62
103	75	54
109	83	58
107	83	59
105	77	55
116	89	68
132	113	96
139	120	105
149	128	107
141	119	95
136	115	94
137	121	106
91	73	59
81	59	45
78	56	43
70	51	37
69	53	38
70	58	42
85	70	51
110	88	67
119	98	77
105	84	63
107	90	74
107	90	72
136	119	99
133	124	107
85	71	58
78	60	46
92	77	58
88	80	61
66	58	45
59	49	39
51	41	31
50	40	28
59	52	33
62	61	40
46	54	33
36	50	33
33	55	32
46	78	41
59	102	57
155	152	71
239	208	81
248	213	93
253	219	109
254	224	114
244	205	78
211	165	10
211	164	0
211	169	7
231	196	76
228	199	97
135	101	30
74	56	32
49	39	27
55	37	15
58	39	7
57	40	14
57	35	11
55	33	9
56	32	8
53	31	7
51	34	6
50	34	8
48	34	8
42	35	9
35	33	8
32	31	10
25	28	11
19	20	12
14	15	10
15	16	11
18	21	14
16	19	12
10	12	7
9	9	7
7	9	8
8	8	10
9	7	8
10	10	10
8	10	9
8	10	9
11	9	10
9	9	9
7	7	7
4	6	5
6	6	6
6	4	5
4	6	3
50	51	43
70	64	52
66	59	49
65	55	45
70	66	54
67	67	57
46	43	38
72	68	65
90	89	87
87	86	84
84	86	83
83	85	82
87	87	85
86	86	84
83	83	83
87	89	88
90	92	91
86	86	86
90	86	85
88	82	82
84	80	79
94	96	93
21	21	21
5	5	5
4	4	4
5	5	5
6	6	6
8	8	8
8	8	8
14	14	14
15	17	14
8	10	7
7	7	7
5	5	5
2	2	2
2	2	2
4	4	4
4	4	4
6	6	6
13	13	13
21	21	21
32	32	32
35	37	36
27	29	28
23	23	23
18	18	18
11	11	11
5	5	5
4	4	4
4	4	4
4	4	4
10	10	10
23	23	21
27	28	23
19	20	15
15	16	11
20	19	15
31	30	26
39	38	34
44	43	39
48	47	42
45	44	39
43	44	39
45	44	40
45	44	39
46	45	40
44	43	38
45	46	41
44	45	40
44	45	40
42	43	38
38	39	34
34	35	29
36	37	31
34	35	30
14	16	13
4	4	4
6	6	6
6	6	6
7	7	7
8	8	8
4	4	4
6	6	6
5	5	5
7	7	7
12	12	12
7	7	7
4	4	4
4	4	4
4	4	4
10	10	12
21	21	19
23	21	24
21	20	15
25	25	17
14	14	12
13	13	13
13	15	10
18	20	17
10	26	25
9	47	34
11	54	37
9	56	40
12	56	41
13	56	39
19	62	43
42	71	53
62	73	56
77	76	55
81	75	49
84	65	48
120	98	77
143	129	103
141	125	100
128	112	86
109	94	65
106	86	62
117	96	77
128	102	79
106	90	64
89	72	44
111	84	55
130	105	75
139	123	97
134	119	96
119	104	81
113	87	70
108	84	60
125	101	73
129	109	84
99	74	54
85	53	38
133	102	82
149	121	97
138	116	92
119	94	74
88	65	47
97	66	48
134	98	76
165	141	113
154	132	108
152	123	105
155	127	106
140	114	91
129	102	73
123	96	66
107	83	55
84	57	38
77	49	37
80	55	35
95	69	44
104	77	50
114	84	60
126	96	72
114	84	60
103	71	48
114	78	54
132	94	73
150	122	101
121	98	80
72	46	31
60	38	24
81	64	48
78	55	41
99	67	54
127	104	86
103	80	64
89	60	42
104	69	49
132	104	83
143	117	102
114	95	81
112	78	69
131	102	88
115	89	72
119	86	67
111	81	57
106	74	49
115	81	56
114	87	66
69	50	36
49	34	27
38	29	22
42	33	24
47	40	30
51	41	32
53	39	28
71	52	35
93	62	44
108	72	58
110	79	61
92	65	48
64	40	28
65	43	30
67	44	30
70	41	27
90	54	40
121	84	65
121	93	72
99	62	44
113	64	49
137	89	69
156	116	91
155	119	95
142	110	87
131	97	72
123	87	61
103	68	48
90	57	38
96	61	41
114	82	59
120	92	70
106	82	58
111	87	61
114	90	66
114	83	62
121	93	72
134	115	98
139	121	109
146	125	108
145	125	101
136	118	96
141	124	108
113	95	81
83	64	49
80	62	48
72	54	40
72	54	40
70	57	41
88	73	54
113	95	73
125	104	83
111	89	68
114	98	82
109	90	73
131	112	95
136	129	111
89	75	62
74	50	40
85	66	49
90	79	61
78	69	54
71	57	44
59	45	34
50	40	28
62	55	36
70	62	43
59	56	37
40	55	36
39	59	34
55	80	38
67	105	56
167	168	92
243	212	96
250	216	92
248	217	100
249	223	100
238	200	63
211	165	9
212	167	6
213	169	10
229	195	69
219	193	82
134	102	27
72	55	29
45	35	25
52	35	15
56	40	7
49	35	8
46	31	12
47	28	11
46	29	9
47	30	10
46	31	8
39	31	8
33	31	10
27	28	12
24	26	13
20	23	12
18	21	12
16	17	12
14	13	11
11	11	9
14	14	12
16	16	14
10	10	8
9	9	7
8	8	8
7	7	9
8	8	8
10	10	8
7	9	6
6	8	7
8	8	8
6	6	6
9	5	6
5	3	4
4	4	4
5	5	7
3	5	4
22	27	21
53	55	44
66	67	61
69	66	59
70	63	57
63	58	52
81	78	73
87	86	84
88	88	88
85	85	87
85	85	83
85	85	83
89	89	87
88	86	87
86	86	86
90	92	91
86	88	87
83	85	84
81	83	82
86	82	83
84	82	83
94	93	91
20	20	20
5	5	5
5	5	5
3	3	3
7	7	7
10	10	10
